distribution k Trace stats.attr ratio
combined 20 gwa-t1 bot_user_iat 0.982758620689655
exponential 20 gwa-t1 bot_user_iat 0
gamma 20 gwa-t1 bot_user_iat 0.971264367816092
lognormal 20 gwa-t1 bot_user_iat 0.977011494252874
normal 20 gwa-t1 bot_user_iat 0.959770114942529
weibull 20 gwa-t1 bot_user_iat 0.517241379310345
combined 1 gwa-t2 bot_user_iat 0.503067484662577
exponential 1 gwa-t2 bot_user_iat 0
gamma 1 gwa-t2 bot_user_iat 0.478527607361963
lognormal 1 gwa-t2 bot_user_iat 0.45398773006135
normal 1 gwa-t2 bot_user_iat 0.503067484662577
weibull 1 gwa-t2 bot_user_iat 0.441717791411043
combined 2 gwa-t2 bot_user_iat 0.791411042944785
exponential 2 gwa-t2 bot_user_iat 0
gamma 2 gwa-t2 bot_user_iat 0.785276073619632
lognormal 2 gwa-t2 bot_user_iat 0.791411042944785
normal 2 gwa-t2 bot_user_iat 0.754601226993865
weibull 2 gwa-t2 bot_user_iat 0.631901840490798
combined 3 gwa-t2 bot_user_iat 0.785276073619632
exponential 3 gwa-t2 bot_user_iat 0
gamma 3 gwa-t2 bot_user_iat 0.779141104294479
lognormal 3 gwa-t2 bot_user_iat 0.785276073619632
normal 3 gwa-t2 bot_user_iat 0.760736196319018
weibull 3 gwa-t2 bot_user_iat 0.631901840490798
combined 4 gwa-t2 bot_user_iat 0.938650306748466
exponential 4 gwa-t2 bot_user_iat 0
gamma 4 gwa-t2 bot_user_iat 0.920245398773006
lognormal 4 gwa-t2 bot_user_iat 0.938650306748466
normal 4 gwa-t2 bot_user_iat 0.895705521472393
weibull 4 gwa-t2 bot_user_iat 0.748466257668712
combined 5 gwa-t2 bot_user_iat 0.938650306748466
exponential 5 gwa-t2 bot_user_iat 0
gamma 5 gwa-t2 bot_user_iat 0.920245398773006
lognormal 5 gwa-t2 bot_user_iat 0.938650306748466
normal 5 gwa-t2 bot_user_iat 0.889570552147239
weibull 5 gwa-t2 bot_user_iat 0.779141104294479
combined 6 gwa-t2 bot_user_iat 0.950920245398773
exponential 6 gwa-t2 bot_user_iat 0
gamma 6 gwa-t2 bot_user_iat 0.94478527607362
lognormal 6 gwa-t2 bot_user_iat 0.950920245398773
normal 6 gwa-t2 bot_user_iat 0.94478527607362
weibull 6 gwa-t2 bot_user_iat 0.822085889570552
combined 7 gwa-t2 bot_user_iat 0.96319018404908
exponential 7 gwa-t2 bot_user_iat 0
gamma 7 gwa-t2 bot_user_iat 0.957055214723926
lognormal 7 gwa-t2 bot_user_iat 0.96319018404908
normal 7 gwa-t2 bot_user_iat 0.957055214723926
weibull 7 gwa-t2 bot_user_iat 0.932515337423313
combined 8 gwa-t2 bot_user_iat 0.975460122699387
exponential 8 gwa-t2 bot_user_iat 0
gamma 8 gwa-t2 bot_user_iat 0.969325153374233
lognormal 8 gwa-t2 bot_user_iat 0.969325153374233
normal 8 gwa-t2 bot_user_iat 0.969325153374233
weibull 8 gwa-t2 bot_user_iat 0.950920245398773
combined 9 gwa-t2 bot_user_iat 0.98159509202454
exponential 9 gwa-t2 bot_user_iat 0
gamma 9 gwa-t2 bot_user_iat 0.969325153374233
lognormal 9 gwa-t2 bot_user_iat 0.969325153374233
normal 9 gwa-t2 bot_user_iat 0.969325153374233
weibull 9 gwa-t2 bot_user_iat 0.957055214723926
combined 10 gwa-t2 bot_user_iat 0.98159509202454
exponential 10 gwa-t2 bot_user_iat 0
gamma 10 gwa-t2 bot_user_iat 0.969325153374233
lognormal 10 gwa-t2 bot_user_iat 0.96319018404908
normal 10 gwa-t2 bot_user_iat 0.969325153374233
weibull 10 gwa-t2 bot_user_iat 0.96319018404908
combined 11 gwa-t2 bot_user_iat 0.98159509202454
exponential 11 gwa-t2 bot_user_iat 0
gamma 11 gwa-t2 bot_user_iat 0.969325153374233
lognormal 11 gwa-t2 bot_user_iat 0.96319018404908
normal 11 gwa-t2 bot_user_iat 0.96319018404908
weibull 11 gwa-t2 bot_user_iat 0.96319018404908
combined 12 gwa-t2 bot_user_iat 0.98159509202454
exponential 12 gwa-t2 bot_user_iat 0
gamma 12 gwa-t2 bot_user_iat 0.969325153374233
lognormal 12 gwa-t2 bot_user_iat 0.96319018404908
normal 12 gwa-t2 bot_user_iat 0.96319018404908
weibull 12 gwa-t2 bot_user_iat 0.94478527607362
combined 13 gwa-t2 bot_user_iat 0.98159509202454
exponential 13 gwa-t2 bot_user_iat 0
gamma 13 gwa-t2 bot_user_iat 0.969325153374233
lognormal 13 gwa-t2 bot_user_iat 0.96319018404908
normal 13 gwa-t2 bot_user_iat 0.96319018404908
weibull 13 gwa-t2 bot_user_iat 0.950920245398773
combined 14 gwa-t2 bot_user_iat 0.98159509202454
exponential 14 gwa-t2 bot_user_iat 0
gamma 14 gwa-t2 bot_user_iat 0.975460122699387
lognormal 14 gwa-t2 bot_user_iat 0.969325153374233
normal 14 gwa-t2 bot_user_iat 0.969325153374233
weibull 14 gwa-t2 bot_user_iat 0.957055214723926
combined 15 gwa-t2 bot_user_iat 0.98159509202454
exponential 15 gwa-t2 bot_user_iat 0
gamma 15 gwa-t2 bot_user_iat 0.975460122699387
lognormal 15 gwa-t2 bot_user_iat 0.975460122699387
normal 15 gwa-t2 bot_user_iat 0.969325153374233
weibull 15 gwa-t2 bot_user_iat 0.957055214723926
combined 16 gwa-t2 bot_user_iat 0.975460122699387
exponential 16 gwa-t2 bot_user_iat 0
gamma 16 gwa-t2 bot_user_iat 0.975460122699387
lognormal 16 gwa-t2 bot_user_iat 0.975460122699387
normal 16 gwa-t2 bot_user_iat 0.969325153374233
weibull 16 gwa-t2 bot_user_iat 0.94478527607362
combined 17 gwa-t2 bot_user_iat 0.975460122699387
exponential 17 gwa-t2 bot_user_iat 0
gamma 17 gwa-t2 bot_user_iat 0.975460122699387
lognormal 17 gwa-t2 bot_user_iat 0.975460122699387
normal 17 gwa-t2 bot_user_iat 0.969325153374233
weibull 17 gwa-t2 bot_user_iat 0.94478527607362
combined 18 gwa-t2 bot_user_iat 0.975460122699387
exponential 18 gwa-t2 bot_user_iat 0
gamma 18 gwa-t2 bot_user_iat 0.975460122699387
lognormal 18 gwa-t2 bot_user_iat 0.975460122699387
normal 18 gwa-t2 bot_user_iat 0.975460122699387
weibull 18 gwa-t2 bot_user_iat 0.94478527607362
combined 19 gwa-t2 bot_user_iat 0.975460122699387
exponential 19 gwa-t2 bot_user_iat 0
gamma 19 gwa-t2 bot_user_iat 0.975460122699387
lognormal 19 gwa-t2 bot_user_iat 0.969325153374233
normal 19 gwa-t2 bot_user_iat 0.969325153374233
weibull 19 gwa-t2 bot_user_iat 0.950920245398773
combined 20 gwa-t2 bot_user_iat 0.975460122699387
exponential 20 gwa-t2 bot_user_iat 0
gamma 20 gwa-t2 bot_user_iat 0.975460122699387
lognormal 20 gwa-t2 bot_user_iat 0.975460122699387
normal 20 gwa-t2 bot_user_iat 0.969325153374233
weibull 20 gwa-t2 bot_user_iat 0.950920245398773
combined 1 gwa-t3 bot_user_iat 0.666666666666667
exponential 1 gwa-t3 bot_user_iat 0
gamma 1 gwa-t3 bot_user_iat 0.642857142857143
lognormal 1 gwa-t3 bot_user_iat 0.630952380952381
normal 1 gwa-t3 bot_user_iat 0.666666666666667
weibull 1 gwa-t3 bot_user_iat 0.55952380952381
combined 2 gwa-t3 bot_user_iat 0.821428571428571
exponential 2 gwa-t3 bot_user_iat 0
gamma 2 gwa-t3 bot_user_iat 0.785714285714286
lognormal 2 gwa-t3 bot_user_iat 0.738095238095238
normal 2 gwa-t3 bot_user_iat 0.797619047619048
weibull 2 gwa-t3 bot_user_iat 0.702380952380952
combined 3 gwa-t3 bot_user_iat 0.952380952380952
exponential 3 gwa-t3 bot_user_iat 0
gamma 3 gwa-t3 bot_user_iat 0.94047619047619
lognormal 3 gwa-t3 bot_user_iat 0.928571428571429
normal 3 gwa-t3 bot_user_iat 0.916666666666667
weibull 3 gwa-t3 bot_user_iat 0.80952380952381
combined 4 gwa-t3 bot_user_iat 0.964285714285714
exponential 4 gwa-t3 bot_user_iat 0
gamma 4 gwa-t3 bot_user_iat 0.964285714285714
lognormal 4 gwa-t3 bot_user_iat 0.952380952380952
normal 4 gwa-t3 bot_user_iat 0.928571428571429
weibull 4 gwa-t3 bot_user_iat 0.80952380952381
combined 5 gwa-t3 bot_user_iat 0.988095238095238
exponential 5 gwa-t3 bot_user_iat 0
gamma 5 gwa-t3 bot_user_iat 0.964285714285714
lognormal 5 gwa-t3 bot_user_iat 0.964285714285714
normal 5 gwa-t3 bot_user_iat 0.952380952380952
weibull 5 gwa-t3 bot_user_iat 0.833333333333333
combined 6 gwa-t3 bot_user_iat 0.976190476190476
exponential 6 gwa-t3 bot_user_iat 0
gamma 6 gwa-t3 bot_user_iat 0.952380952380952
lognormal 6 gwa-t3 bot_user_iat 0.976190476190476
normal 6 gwa-t3 bot_user_iat 0.964285714285714
weibull 6 gwa-t3 bot_user_iat 0.845238095238095
combined 7 gwa-t3 bot_user_iat 0.988095238095238
exponential 7 gwa-t3 bot_user_iat 0
gamma 7 gwa-t3 bot_user_iat 0.976190476190476
lognormal 7 gwa-t3 bot_user_iat 0.976190476190476
normal 7 gwa-t3 bot_user_iat 0.976190476190476
weibull 7 gwa-t3 bot_user_iat 0.857142857142857
combined 8 gwa-t3 bot_user_iat 0.988095238095238
exponential 8 gwa-t3 bot_user_iat 0
gamma 8 gwa-t3 bot_user_iat 0.976190476190476
lognormal 8 gwa-t3 bot_user_iat 0.976190476190476
normal 8 gwa-t3 bot_user_iat 0.976190476190476
weibull 8 gwa-t3 bot_user_iat 0.845238095238095
combined 9 gwa-t3 bot_user_iat 0.988095238095238
exponential 9 gwa-t3 bot_user_iat 0
gamma 9 gwa-t3 bot_user_iat 0.976190476190476
lognormal 9 gwa-t3 bot_user_iat 0.976190476190476
normal 9 gwa-t3 bot_user_iat 0.976190476190476
weibull 9 gwa-t3 bot_user_iat 0.880952380952381
combined 10 gwa-t3 bot_user_iat 0.988095238095238
exponential 10 gwa-t3 bot_user_iat 0
gamma 10 gwa-t3 bot_user_iat 0.988095238095238
lognormal 10 gwa-t3 bot_user_iat 0.988095238095238
normal 10 gwa-t3 bot_user_iat 0.988095238095238
weibull 10 gwa-t3 bot_user_iat 0.880952380952381
combined 11 gwa-t3 bot_user_iat 0.988095238095238
exponential 11 gwa-t3 bot_user_iat 0
gamma 11 gwa-t3 bot_user_iat 0.988095238095238
lognormal 11 gwa-t3 bot_user_iat 0.988095238095238
normal 11 gwa-t3 bot_user_iat 0.988095238095238
weibull 11 gwa-t3 bot_user_iat 0.892857142857143
combined 12 gwa-t3 bot_user_iat 0.988095238095238
exponential 12 gwa-t3 bot_user_iat 0
gamma 12 gwa-t3 bot_user_iat 0.988095238095238
lognormal 12 gwa-t3 bot_user_iat 0.988095238095238
normal 12 gwa-t3 bot_user_iat 0.988095238095238
weibull 12 gwa-t3 bot_user_iat 0.880952380952381
combined 13 gwa-t3 bot_user_iat 0.988095238095238
exponential 13 gwa-t3 bot_user_iat 0
gamma 13 gwa-t3 bot_user_iat 0.988095238095238
lognormal 13 gwa-t3 bot_user_iat 0.988095238095238
normal 13 gwa-t3 bot_user_iat 0.988095238095238
weibull 13 gwa-t3 bot_user_iat 0.869047619047619
