user1 user10 user109 user111 user112 user113 user114 user115 user116 user119 user12 user122 user123 user125 user127 user129 user134 user139 user142 user144 user147 user151 user158 user162 user165 user167 user180 user181 user183 user185 user187 user191 user196 user197 user200 user201 user203 user217 user219 user24 user240 user251 user255 user266 user267 user268 user275 user277 user284 user286 user288 user294 user296 user297 user3 user30 user303 user304 user306 user311 user316 user322 user33 user331 user332 user335 user34 user345 user349 user350 user351 user352 user372 user381 user389 user390 user391 user392 user393 user394 user396 user399 user4 user402 user403 user407 user410 user411 user412 user413 user414 user415 user418 user420 user422 user423 user428 user429 user430 user431 user433 user437 user453 user455 user456 user458 user460 user463 user467 user487 user488 user490 user491 user492 user493 user496 user498 user499 user5 user500 user501 user506 user508 user513 user535 user568 user569 user571 user572 user573 user575 user576 user577 user578 user579 user584 user585 user589 user590 user592 user595 user598 user599 user602 user609 user611 user621 user626 user627 user631 user636 user638 user67 user68 user69 user71 user72 user73 user75 user8 user81 user90 user96
user1 0 0.107914706094334 0.114560414455324 0.0855707196029777 0.226943755169562 0.145142491916685 0.0955914751513184 0.0481644079658968 0.0628936820003817 0.169704723226322 0.158132190390255 0.1137195670155 0.256732226422636 0.295800563569836 0.116800245447646 0.150039892546316 0.109852576266239 0.0868006856786661 0.0755219474629931 0.0959007234326064 0.285937231768029 0.155878326345512 0.187344913151365 0.237386269644334 0.298467560243778 0.200267902237642 0.51583290416218 0.0899016867167133 0.199099970559785 0.109269762495569 0.120410787705349 0.176678785080886 0.134623882524899 0.647972330545259 0.08649415101028 0.18873157203328 0.1709188131269 0.226426799007444 0.303861813100773 0.147491375658173 0.578409771541028 0.117975186104218 0.0569820548782681 0.0862656581661635 0.111319255779284 0.273052109181141 0.197570142665897 0.0992778710568937 0.355983770233016 0.138274319846659 0.221185933088047 0.074499394079289 0.286605492364315 0.167245657568238 0.10584018553658 0.169956482162674 0.118040137564756 0.207934608086411 0.231496262110604 0.126981720696066 0.0658764088612514 0.406947890818859 0.433181102818356 0.127874738345093 0.0975925241539518 0.224719471222469 0.114076307800488 0.106722516903044 0.149202410492733 0.312743707904998 0.157241089836179 0.121929837595281 0.289175523198652 0.303167907361456 0.0690147964341513 0.709770081243499 0.713033280300922 0.371034521541695 0.391344576691761 0.140663771712159 0.173178305565402 0.227357320099256 0.126107909685622 0.210322580645161 0.479837613657288 0.501975186104218 0.537018870102141 0.435188467446532 0.461255771586519 0.391404742211194 0.392637031209022 0.425809450271004 0.251139888337469 0.419882133995037 0.25 0.432847394540943 0.445139713021901 0.130616123752706 0.332563029189476 0.180043773574864 0.395606452572822 0.397396881876492 0.313360131119922 0.0878923943440073 0.311440017425249 0.212390881339593 0.181348221670802 0.681291503413756 0.207985562824272 0.134945988915469 0.0810470765036871 0.235294117647059 0.080607309584893 0.195313168477796 0.332834749829242 0.357654284278305 0.104687229499683 0.331452161883221 0.184436399137615 0.125800196008925 0.323400238529932 0.380909625179574 0.159459789285278 0.0821146727413253 0.139498317077365 0.335438754793594 0.134220618091586 0.127572617136184 0.329142803382216 0.331066618680507 0.226664502214698 0.184430723065382 0.258358231630121 0.0975720962042631 0.386832363828662 0.48152006502952 0.204038512248058 0.329833070155651 0.0845522615471682 0.274353356849391 0.227812058528587 0.266212171599601 0.240062278012942 0.261110935499676 0.458035286093716 0.228339536807279 0.0965540332900657 0.22172071532472 0.190136476426799 0.13284033117952 0.169021095582523 0.306230403754785 0.262303556658395 0.192028945901335 0.308243727598566 0.208550375996818 0.0862056173384006 0.246117459178362 0.0874246721020915 0.121677347947944 0.114769959250575 0.262096774193548 0.217517921146953
user10 0.107914706094334 0 0.160632633150353 0.157323651452282 0.219411639536121 0.105651955237017 0.0830069414821421 0.0868995883359114 0.113064401286553 0.13572341311433 0.204419715830504 0.0861988093090384 0.255506975967028 0.27433363808988 0.163940918623595 0.131825358939522 0.13060776177691 0.0770541423617376 0.0827371583917585 0.170589422157501 0.286411440799603 0.210509371870082 0.184647302904564 0.278859453133312 0.380466674768659 0.180149083832115 0.594729116104282 0.163664057986239 0.284408186229693 0.0783750740960284 0.0822303661750007 0.111003892051851 0.117219917012448 0.744765125612761 0.171709229038385 0.257058009925962 0.241482087546023 0.189097845000669 0.311565886476252 0.154397328205647 0.663864644441265 0.144497925311203 0.105764026700343 0.120406938959156 0.1510832663638 0.314854771784232 0.252034880998099 0.19212612120158 0.438793482108208 0.115785027455462 0.291601087423093 0.0834562523262707 0.357620652204183 0.251835301627833 0.111680633525886 0.21970850101128 0.196986241537454 0.252789846228948 0.276633982609615 0.0748755853824499 0.124593810928361 0.465912639985723 0.507192792676429 0.207932497276247 0.116778493864218 0.239947857378915 0.150146415367395 0.0828162472876775 0.169571230982019 0.35669828097214 0.123283994962945 0.152334335478421 0.351405308071714 0.348672199170125 0.121169509758721 0.812570379636425 0.818723644199493 0.440221927050886 0.472938623371143 0.135827282157676 0.228524007113219 0.270128471113948 0.182236548815198 0.28577082668369 0.559770098089527 0.575933609958506 0.638388052167846 0.513241677342869 0.53655128945848 0.475844061424974 0.470891104139257 0.496170287447819 0.319942946058091 0.504858229598893 0.333625917650814 0.509595435684647 0.524041981938003 0.202524940407875 0.412498812201071 0.265337679240875 0.476062826552806 0.476708682376889 0.307015663517631 0.103997892379635 0.374715221288235 0.241096749156691 0.225353465498694 0.78482199910595 0.28922032324522 0.20557432852138 0.153702296768161 0.318920035297873 0.101118222097194 0.275933609958506 0.365897031821533 0.411996233438791 0.148641802566824 0.374068226049278 0.123018842255629 0.167265246347502 0.362309662662218 0.449051830821868 0.195156792054962 0.137711720291137 0.167351382441149 0.334213504337986 0.172010562052056 0.122040517451794 0.421722286680695 0.289886288049159 0.250067863652228 0.147576313165428 0.26383266999746 0.147251587173585 0.379668049792531 0.564887680641007 0.270727102106346 0.426310826103357 0.139149741573852 0.349956757071919 0.213356344630901 0.332249647089019 0.25275947170016 0.346915717419457 0.531712797899285 0.309188477497606 0.198088678565128 0.25493632851624 0.232381876589479 0.208085123865084 0.147145253439948 0.323908778024382 0.24871566884015 0.217942859231908 0.307018477142958 0.161413955845554 0.129967880233247 0.316240038535971 0.115672133306988 0.19015492999791 0.0846054284517872 0.210001220405175 0.265704241585984
user109 0.114560414455324 0.160632633150353 0 0.1071388101983 0.247267015326505 0.164102068847111 0.134249821291467 0.14172966570003 0.097444558056892 0.236335610731545 0.0968323461241308 0.138325737980868 0.28198376333251 0.357312623037403 0.078470562209263 0.213471550218523 0.132369605065822 0.148810745713074 0.146307511966396 0.0730315208212303 0.364312184866464 0.159006544886197 0.264598373389381 0.143646642938428 0.278939040146029 0.304263080047131 0.461986209845529 0.0957202280632553 0.175361309838191 0.163243626062323 0.174432910816567 0.194847047455915 0.175123210058598 0.689775480725209 0.0592319890319543 0.118646892184636 0.129693173203527 0.247532669286302 0.392193129624027 0.245429420299869 0.55973429715737 0.223416430594901 0.0974873752925237 0.103126386566094 0.0765012484743979 0.234617563739377 0.130119773115316 0.135078285355634 0.332724350669202 0.206574103916812 0.149946273322262 0.141311304151412 0.22443390307432 0.175179777729353 0.122586050473069 0.111705837971728 0.103697629342478 0.0990768205299116 0.124091048519514 0.165205450752849 0.100720161097648 0.333995857321271 0.395988800828915 0.0934132020827069 0.152100536435417 0.326104941211863 0.0564507414068591 0.139836785612184 0.0843720491029273 0.208721165520032 0.240162501937903 0.171867313531577 0.238641830135229 0.212587346553352 0.0753960759626482 0.734533724398792 0.732903436352131 0.295325779036827 0.351230202553005 0.239140698772427 0.12377579927155 0.117359446502506 0.0737281389740828 0.181109174112007 0.448147629105396 0.465909348441926 0.553975127580108 0.389874153078942 0.425167640836232 0.387578387932496 0.340677468389415 0.394490898042673 0.175655099150142 0.40708805476865 0.212174039369507 0.398570290368272 0.403472609637524 0.131423663431981 0.27097614774128 0.157257972643523 0.366807579136553 0.348134587631621 0.258644930641941 0.1597081703314 0.24823129019518 0.318345323741007 0.0949270800545588 0.68924093175482 0.186648903504428 0.096580210683449 0.0988342709704877 0.219841564867394 0.148026600086426 0.180423952329784 0.226720198201577 0.271086490887079 0.0492003755188089 0.229129584597257 0.247120698462825 0.056508439069679 0.210701848350509 0.318609910044232 0.136023777457855 0.098273580086379 0.0702184949373124 0.361061035281999 0.0555131837001525 0.223370029726228 0.358763073453003 0.360135588089008 0.330147467633899 0.231289940048752 0.357197779961843 0.122010730838147 0.418764222356383 0.448515189997069 0.134501084514979 0.339544166881277 0.141879131255902 0.239605655107443 0.268152456399843 0.200505242253439 0.337689088855561 0.242611104094116 0.422305784324064 0.179446320912327 0.12681111989653 0.108088307121227 0.0836722105455542 0.110004768182201 0.189491720984699 0.408091222522345 0.303992985296102 0.292402441002858 0.341093435994286 0.28043163289579 0.0698050878563429 0.190039694674106 0.125415935968344 0.0742657998247295 0.18395405047171 0.347879520079987 0.110029115517784
user111 0.0855707196029777 0.157323651452282 0.1071388101983 0 0.150512820512821 0.0829545454545455 0.0956308411214954 0.0925493096646943 0.0964940828402367 0.200882352941176 0.176818181818182 0.100797101449275 0.183741610738255 0.27614406779661 0.123839479392625 0.145811209439528 0.0719117647058824 0.119673913043478 0.115689655172414 0.0980655391120508 0.293349056603774 0.0831034482758621 0.186693548387097 0.188183760683761 0.241234309623431 0.264911504424779 0.461556603773585 0.14879746835443 0.146822033898305 0.159464285714286 0.141514598540146 0.156957364341085 0.0924315068493151 0.631070767478286 0.140473760932945 0.130490196078431 0.124589201877934 0.16741935483871 0.30371359223301 0.162378048780488 0.517931034482759 0.137 0.076231884057971 0.0903915662650602 0.0831818181818182 0.2425 0.12431151241535 0.160733532934132 0.299647995889003 0.140314371257485 0.161206896551724 0.124808970099668 0.226006711409396 0.116346153846154 0.0950653594771242 0.157897822445561 0.109868421052632 0.181470588235294 0.210286624203822 0.122009646302251 0.0582530120481928 0.333951612903226 0.363492217898833 0.171648044692737 0.0693617021276595 0.273761061946903 0.110388283378747 0.106788990825688 0.166666666666667 0.262380952380952 0.184365671641791 0.0994461077844311 0.216415094339623 0.265 0.0823148148148148 0.671755974172935 0.671136149430212 0.307046742209632 0.335526634382567 0.16625 0.139642857142857 0.186153846153846 0.0850206611570248 0.155769230769231 0.424319787985866 0.447 0.493819320214669 0.380126728110599 0.404936708860759 0.334764957264957 0.337581300813008 0.367061933534743 0.19875 0.367083333333333 0.190833333333333 0.3765625 0.388184143222506 0.123351063829787 0.279790076335878 0.12843163538874 0.343786266924565 0.344716981132075 0.304474169741697 0.138214285714286 0.242405335628227 0.232248201438849 0.136018518518518 0.629998347653668 0.180664335664336 0.10312874251497 0.0481807511737089 0.172986425339367 0.105169491525424 0.147068965517241 0.269503484320557 0.300318133616119 0.0977325581395349 0.266836283185841 0.232172131147541 0.121932773109244 0.296290812452544 0.315614035087719 0.17594262295082 0.0715983606557377 0.170742574257426 0.261590909090909 0.150576923076923 0.174316888045541 0.297523696682464 0.278053435114504 0.259088785046729 0.181918604651163 0.319489795918367 0.0591166077738516 0.322786885245902 0.4275 0.142643051771117 0.285909090909091 0.0552192982456141 0.21827868852459 0.184255162241888 0.214458762886598 0.252271241830065 0.206449044585987 0.399840642529322 0.178846153846154 0.0712661737523105 0.175862068965517 0.154032258064516 0.0858910891089109 0.125653495440729 0.324941860465116 0.220119047619048 0.239129955947137 0.242991452991453 0.254828244274809 0.10046511627907 0.198375763747454 0.133928571428571 0.088453237410072 0.150963302752294 0.32 0.158611111111111
user112 0.226943755169562 0.219411639536121 0.247267015326505 0.150512820512821 0 0.155885780885781 0.204229571052001 0.229783037475345 0.240877712031558 0.205050572265105 0.316433566433566 0.160479375696767 0.0860006883496816 0.216536288570187 0.264065020301463 0.166581574767415 0.17130467571644 0.149804905239688 0.197723253757737 0.234441914674473 0.264695210449927 0.127984084880637 0.210090984284533 0.277777777777778 0.289762364553159 0.253885863399138 0.443045476536043 0.28202693930542 0.253368100825728 0.266369047619048 0.266750889013663 0.238744782349434 0.145416227608008 0.608293902452382 0.27556627046423 0.201734539969834 0.259705669916938 0.151261373035567 0.294934030370924 0.177376485303315 0.500110521662246 0.178128205128205 0.202619843924192 0.214125733704047 0.211665146447755 0.368205128205128 0.26199571684899 0.298633502226317 0.307115845784911 0.214494088745586 0.239721485411141 0.220493653633189 0.309748752366202 0.216666666666667 0.15560583207642 0.294597989949749 0.235155195681511 0.30526395173454 0.320961946758125 0.169408030340506 0.172536299042323 0.356286186931348 0.358325850543749 0.308874086807048 0.183306055646481 0.264720898570456 0.207835534129812 0.176487885203482 0.306410256410257 0.308608058608059 0.184414466130884 0.170812221710425 0.265360425737784 0.337435897435898 0.191239316239316 0.634073693840385 0.634196034879353 0.352854652429723 0.323174706649283 0.225560897435897 0.277857142857143 0.274038461538462 0.206362576817122 0.255897435897436 0.409531575609314 0.42174358974359 0.45855694692904 0.362401039820395 0.386400519311912 0.322649572649573 0.341854283927455 0.35343558757456 0.296955128205128 0.344391025641026 0.275641025641026 0.357371794871795 0.376073840907601 0.259056192034915 0.306297709923664 0.23518594899292 0.326526310568864 0.340832123850992 0.352966221969912 0.217796092796093 0.30012908777969 0.223782512451577 0.271723646723647 0.600111003779213 0.317657342657343 0.247370643328727 0.187206572769953 0.252073906485671 0.222392438070404 0.278846153846154 0.348097024926293 0.374683905701933 0.242024448419797 0.344111640571818 0.255569567044977 0.25016160310278 0.397939664739209 0.35138326585695 0.219997898276587 0.209226565783943 0.303947702462554 0.176398601398601 0.28525641025641 0.209865956308082 0.264461052375744 0.200137013114112 0.228312964294273 0.169871794871795 0.311669283097854 0.148024825586663 0.194619588062211 0.407250221043324 0.219695381820722 0.311596736596737 0.174595141700405 0.254338557617246 0.238569321533923 0.254493787998943 0.226370035193565 0.193614241384942 0.385189071509826 0.221153846153846 0.204061803876961 0.268125552608311 0.263130686517783 0.231403909621731 0.135209648507521 0.300834824090638 0.174908424908425 0.232054105952784 0.157051282051282 0.275763358778626 0.238670244484198 0.278408794192908 0.238858363858364 0.212737502305848 0.192954598917902 0.337481146304676 0.275106837606838
user113 0.145142491916685 0.105651955237017 0.164102068847111 0.0829545454545455 0.155885780885781 0 0.0806428773718492 0.115586336740183 0.118051819974897 0.147098144070462 0.246212121212121 0.0517127799736495 0.181131787675412 0.224704673857216 0.168991980542957 0.0998927326360955 0.0645276292335116 0.0806982872200263 0.0801985370950888 0.170454545454545 0.229845626072041 0.140282131661442 0.152981427174976 0.251165501165501 0.298339038924813 0.204344328238134 0.494882790165809 0.207988108937476 0.192154596815614 0.134875541125541 0.147257243972572 0.115045806906272 0.057181403071814 0.681743751051739 0.219034366993551 0.176693404634581 0.17365556978233 0.111681329423265 0.264489555751692 0.117220990391722 0.572361546499478 0.11269696969697 0.149538866930171 0.14521723256663 0.150691699604743 0.306060606060606 0.201031192284014 0.23630012701869 0.342279423214675 0.090659589911087 0.207157784743992 0.0971131581596698 0.290420988407566 0.18006993006993 0.0977421271538919 0.220743870869499 0.107854864433812 0.231755793226381 0.253812005404362 0.0635413621748027 0.0910003650967507 0.399315738025415 0.414441103643438 0.25171406805485 0.078739522888459 0.210579243765084 0.125505738584758 0.0736377536836252 0.213203463203463 0.32521645021645 0.116915422885572 0.0850798403193613 0.283233276157804 0.315909090909091 0.100841750841751 0.740805008078522 0.74687259018079 0.37647008326895 0.375531953921784 0.117424242424242 0.20634632034632 0.238709207459207 0.126101928374656 0.195862470862471 0.464503694185673 0.481818181818182 0.568053070960048 0.416300097751711 0.44289413118527 0.403263403263403 0.383776792313378 0.410956239128445 0.261079545454545 0.413257575757576 0.239510489510489 0.418560606060606 0.427032473068279 0.190570599613153 0.335501966227157 0.192674059631164 0.382656350741457 0.390794739851344 0.343061612434306 0.123196248196248 0.30587284201742 0.178384565075213 0.21043771043771 0.701218229886439 0.256759906759907 0.171135002721829 0.109955185659411 0.228061154531743 0.0934643040575244 0.222962382445141 0.337609544926618 0.358591214370642 0.16565362931642 0.334942343791901 0.19846000993542 0.18799337916985 0.348467591633879 0.363038277511962 0.170889220069548 0.0750124192747144 0.206045604560456 0.262121212121212 0.188228438228438 0.128299120234604 0.361320551486428 0.2235137635901 0.206740300198244 0.117424242424242 0.256307977736549 0.0757441910268765 0.316939890710383 0.467345872518286 0.192758649161919 0.354545454545454 0.0903110047846889 0.284747356468668 0.134285331187986 0.277413308341143 0.200831847890671 0.257624010808724 0.439239410937524 0.21284965034965 0.127989693608917 0.230668756530825 0.200879765395894 0.129012901290129 0.0800290135396518 0.276867512332629 0.193181818181818 0.182569082899479 0.232226107226107 0.21854036548693 0.170014094432699 0.255477380731963 0.160894660894661 0.143639633747547 0.103940783986656 0.284090909090909 0.22790404040404
user114 0.0955914751513184 0.0830069414821421 0.134249821291467 0.0956308411214954 0.204229571052001 0.0806428773718492 0 0.0675680657707977 0.0841121495327103 0.123678168353653 0.200580572075899 0.0673845320330488 0.242363419682619 0.272414066212577 0.12010663531129 0.131585476800926 0.0656404617921935 0.0709512844823694 0.0574846922333226 0.12041848609986 0.278463527890437 0.167096358362875 0.181790774796503 0.242231807652368 0.310073123997967 0.177156562732611 0.53302327631811 0.160215308174613 0.217329320449865 0.092456608811749 0.0955385769834232 0.117184669999275 0.0885289975675329 0.692415175238635 0.16787008528378 0.200384826827927 0.187332719055768 0.164531202894181 0.305053987841394 0.16295874173695 0.593538511118273 0.129532710280374 0.0925436814303129 0.094246143452314 0.0974843928927635 0.278130841121495 0.216640999135039 0.185292965470927 0.373644475607765 0.111505960042532 0.235739606832098 0.0575651255938151 0.30685567333626 0.188353702372394 0.0933052348665322 0.17875201552936 0.134366289555665 0.22175920835624 0.22778141556045 0.0796345824443309 0.0550050669969598 0.420711486282786 0.445616204225608 0.204093353521642 0.0644263273016504 0.238028285501613 0.109997708115817 0.0459573008659864 0.161059190031153 0.294559412550067 0.159878179197471 0.0926464827354636 0.305678010932816 0.300778816199377 0.0851678781585324 0.749900930722425 0.751854384659797 0.388644727436393 0.406847548143287 0.14247468847352 0.182130841121495 0.242361610352265 0.146891171700008 0.223321351545651 0.493593342359896 0.509570093457944 0.575451824854129 0.448368433897526 0.475050278007808 0.409916926272067 0.411138971202796 0.441073495778863 0.266880841121495 0.443438473520249 0.263299784327822 0.448014018691589 0.460274398259914 0.142811692185325 0.351822786616252 0.203415098594373 0.412426110377989 0.414300828777993 0.294495982343001 0.0781783118231716 0.332210014959705 0.222550931217643 0.195223260643821 0.718199282233107 0.221214299718973 0.14848340701774 0.0956956693431618 0.255042922992346 0.0572311104070964 0.210240090235256 0.351769839460744 0.372919990882152 0.111103564442513 0.354023653957489 0.165466523670905 0.134728657818268 0.320400371844819 0.391990490244302 0.138348398958174 0.0777539451509116 0.162394744147312 0.319031435853866 0.147375988497484 0.137145542570359 0.367586481817779 0.280908896340158 0.242990654205607 0.151271462725494 0.265859240892619 0.0928304877646049 0.368009805423625 0.499572993876893 0.219384247116046 0.358283772302464 0.0759550746023938 0.291218892950163 0.19977669340832 0.283697851430774 0.250839899822857 0.27439133281743 0.472582174839272 0.250494248741912 0.135479468619897 0.194005800837899 0.205079891468194 0.138243730915148 0.131963184955828 0.327030355719771 0.2398753894081 0.210856766437482 0.291836408658838 0.188449739601912 0.119663427205266 0.261063631345528 0.110313751668892 0.134808041417333 0.101260396124496 0.24890049477735 0.234618380062305
user115 0.0481644079658968 0.0868995883359114 0.14172966570003 0.0925493096646943 0.229783037475345 0.115586336740183 0.0675680657707977 0 0.0808678500986193 0.158302792053125 0.182445759368836 0.0876940228110797 0.257495730908225 0.27259051248621 0.142180834905681 0.135536122602154 0.0908922148741154 0.099162450333019 0.0607189009045773 0.102378539766733 0.253879647203305 0.152570903897164 0.159795126296367 0.253780407626562 0.314183027572149 0.193014609624548 0.525714524952551 0.101889995755624 0.216561361281048 0.0916455339532263 0.107876589066932 0.133159029402321 0.105475399205642 0.669790805695909 0.118630715177026 0.188130873651236 0.176056338028169 0.200817586053318 0.278949081787021 0.114600471448501 0.596017819492621 0.093301775147929 0.086913643769831 0.120137354150329 0.135369647075333 0.265798816568047 0.192474655054964 0.128760231017255 0.371068149706777 0.122240725649293 0.225260150989594 0.08259778385002 0.288852706405623 0.183234714003945 0.127895734230576 0.194156185265578 0.13111180317658 0.236486831418958 0.262113845651327 0.0981500155380937 0.0741843112093344 0.40138067061144 0.437578185557832 0.150595572598151 0.0770909396113979 0.20085179172994 0.122626552515465 0.0812026129598466 0.179571710340941 0.334319526627219 0.121522564691336 0.0923714700775963 0.285530869710841 0.329013806706114 0.0991014683322376 0.72858763177198 0.734541202532213 0.37404942700214 0.407586763518967 0.107988165680473 0.199585235277543 0.251849112426036 0.13766932368331 0.220512820512821 0.494427833650448 0.52036291913215 0.555846062107243 0.44744089657241 0.47767707787182 0.404667981591059 0.405782460191466 0.427447755590912 0.25902983234714 0.436057692307692 0.267751479289941 0.440412352071006 0.457598732829896 0.138914767720005 0.347260490537061 0.197286249874412 0.409871089085492 0.413922072122362 0.342754936425104 0.086456278763971 0.310026241907614 0.188022363174549 0.174528818759588 0.701206245412865 0.223883808499193 0.147763644309015 0.0866738894907909 0.253045596937 0.0494768161000235 0.209770114942529 0.335188888659808 0.359332023986564 0.12744541534792 0.332521687525091 0.166812170595273 0.158503638141647 0.347005252209387 0.38617253192152 0.171144954247098 0.0746798913570667 0.166793602437167 0.340147032454725 0.165142549757934 0.0988364041932864 0.346607214634922 0.311727419184847 0.202501428597762 0.155084629145452 0.246580525701405 0.108139753695611 0.392876774339574 0.497624634428348 0.208027667155733 0.342128384436077 0.0888871587252155 0.285183080895565 0.220715295596167 0.281309095345574 0.20818347062691 0.281099636930112 0.465868961514825 0.242973372781065 0.117231221311983 0.228779840848806 0.212723484125469 0.149764680610073 0.151106394968915 0.283748451905876 0.280078895463511 0.169998870439399 0.310979618671926 0.183672854841381 0.117268539451008 0.269889570453568 0.0746571804264111 0.143246349665829 0.0806235636863724 0.257642998027613 0.229988494411571
user116 0.0628936820003817 0.113064401286553 0.097444558056892 0.0964940828402367 0.240877712031558 0.118051819974897 0.0841121495327103 0.0808678500986193 0 0.179255134006265 0.143266989420836 0.0964497041420118 0.265577220920535 0.282594524119948 0.0819866767639169 0.152955961669372 0.0932474765053951 0.0984478175113627 0.0918690063252397 0.0884946895680349 0.29502065423691 0.144511324219547 0.19039893109372 0.184418145956608 0.304201431011859 0.255144787139341 0.505861337501396 0.100404464085087 0.194865108815565 0.110154268808115 0.121215393253574 0.140727489564699 0.11451325281673 0.681377839676397 0.108579019097072 0.162547859380439 0.154457315887435 0.207720939110517 0.32518527029356 0.177558089190359 0.580162211793512 0.138011834319527 0.0680044593088071 0.0617380765666215 0.0702925836705101 0.224378698224852 0.153418729213138 0.128866527300429 0.354457938298558 0.1421181306027 0.195674352173026 0.0794786608740097 0.260557563242127 0.168639053254438 0.113856982635263 0.143865283022608 0.114086992629503 0.168820048729551 0.206478724607093 0.101038832550087 0.079810365723248 0.368899917287014 0.418230377823314 0.144672903375095 0.0902366863905325 0.259936115620254 0.0652661109588378 0.0808588024537212 0.13367145674838 0.262397858551705 0.186037269274927 0.115614923998157 0.266662945182539 0.26715976331361 0.0586237124698663 0.721348173431901 0.727110234795293 0.340722798665706 0.383182658280442 0.170673076923077 0.137359256128487 0.180103550295858 0.0941268521688102 0.208639053254438 0.480377192799047 0.497680473372781 0.556419430301362 0.426389987184032 0.455126956782264 0.395463510848126 0.383430749987973 0.416194426071256 0.219008875739645 0.431521203155819 0.244082840236686 0.420996671597633 0.434298339865918 0.127080448193378 0.313293283346131 0.181909037549376 0.39284447140421 0.384894495924975 0.279765933754012 0.108152531229454 0.285031928220065 0.225384189689668 0.128616042077581 0.702853377239467 0.205164066702528 0.121771250398611 0.0739506069950274 0.24173337974243 0.0847758499648982 0.188175882472965 0.277003484320557 0.314610302007317 0.0757018026696023 0.278891972561135 0.196527306237268 0.0910944259360549 0.293081371055789 0.364476279456037 0.121253273838394 0.0629061984673586 0.125373484093972 0.345077998924153 0.117805271651426 0.165770297429909 0.343840264729802 0.320384841230408 0.262594702206492 0.178500986193294 0.305506581330757 0.107972484161666 0.400766320690659 0.480376453784942 0.172137755348822 0.336256051640667 0.0938181251946434 0.269778141152668 0.250301094412735 0.235832367473922 0.252194763506981 0.258527117174839 0.445143312342151 0.219304733727811 0.118983036017019 0.168690063252397 0.150720557358274 0.12806842814459 0.155051168144458 0.334480069721572 0.274302620456467 0.236073821129734 0.315253122945431 0.228149419576313 0.0632507027855865 0.226780269706793 0.0739879778341317 0.109978289557703 0.134656099017426 0.298076923076923 0.174761669953978
user119 0.169704723226322 0.13572341311433 0.236335610731545 0.200882352941176 0.205050572265105 0.147098144070462 0.123678168353653 0.158302792053125 0.179255134006265 0 0.271102023697179 0.125139160523544 0.148928264554934 0.206879361914257 0.215643741227511 0.0834634738851293 0.161937716262976 0.101800310917206 0.112784870540508 0.213289245557693 0.204587495375509 0.271387662570099 0.0997321129590356 0.346907993966818 0.41630351377568 0.15313715283094 0.634985636874062 0.227541500591301 0.322121869685062 0.178710454770143 0.183062662591872 0.175773182049838 0.13221074086363 0.756166959082047 0.24013639069073 0.29757785467128 0.290389395194698 0.170415224913495 0.233866362078812 0.119503755591189 0.691608996539792 0.138242214532872 0.170640890627351 0.16631925626381 0.171629032919841 0.385882352941176 0.317620501925375 0.260396162691917 0.472241880247656 0.157843482585003 0.335192697768763 0.130786651185782 0.410580339518358 0.281607665690711 0.143790849673203 0.28209675830131 0.240970072239422 0.322352941176471 0.315694355674079 0.103249924899031 0.156970442322925 0.528462998102467 0.544195064155211 0.27247685140438 0.153261429728337 0.167881311816762 0.209969546401667 0.118647027078505 0.234305486900643 0.399262646234965 0.0972989722666942 0.179474960114373 0.413429522752497 0.398200692041523 0.185511982570806 0.825045426309417 0.830396460751059 0.488398992324809 0.509773201404191 0.155565167243368 0.285310924369748 0.345305429864253 0.249684005833738 0.327793452222518 0.590974115690758 0.617467128027682 0.656690456883585 0.552692424218264 0.575340545749201 0.502506432437228 0.518890483022477 0.538506570212944 0.371507352941176 0.534054209919262 0.357000266169816 0.552984429065744 0.56566872273206 0.24630788485607 0.456615335851449 0.301056615675761 0.512545762416925 0.516582881765359 0.3739514038739 0.143323996265173 0.435658600789713 0.156580617858654 0.293845315904139 0.797169627930485 0.320168412901977 0.248559973478648 0.19884009942005 0.344423742347618 0.133599202392821 0.310359742274192 0.45520417636208 0.475655623112572 0.206717228615112 0.452536975227363 0.0988711781723297 0.212555610479486 0.423834708746154 0.499742002063983 0.219751545748483 0.171046287367406 0.233701051766076 0.208870714061026 0.251336898395722 0.121553744837593 0.439265976811689 0.192398108772023 0.167674546454096 0.0772511466967088 0.200480192076831 0.197048430679692 0.262890691474275 0.595057272401861 0.326207065611948 0.442245989304813 0.162022703818369 0.392656580472112 0.229700625695359 0.391449363250455 0.183006535947712 0.376231459237873 0.574316825149234 0.350479105669417 0.212319874127753 0.293550888915404 0.30668880455408 0.250813662681147 0.0979796173788664 0.247150022799818 0.147759103641457 0.134490800725577 0.19001567444474 0.0860825695343247 0.191254066606123 0.363723493470708 0.179766024056681 0.244629210126708 0.108139424145265 0.141868512110727 0.330954440599769
