avg.pvalue UserID.Trace Param1 Param2 Cluster distribution k Trace stats.attr
0.134880330851104 U1002S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.0259762237938269 U1003S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.178852634421421 U1004S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.000354147447412825 U1005S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.00629498239333964 U1006S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.00457081251583419 U1007S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.00632281636195187 U1008S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.0429424502270795 U1009S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.0235708166441812 U1011S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.00013764908172235 U1012S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.000211178539494561 U1013S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.00476733894187366 U1014S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.000126702936841488 U1016S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
4.09078700059873e-06 U1017S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
3.77159560726037e-08 U1018S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
2.74718296999765e-11 U1019S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
1.57651669496772e-17 U1020S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
2.538289073728e-08 U1021S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0 U1023S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
9.88098491916389e-18 U1025S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
2.83409489099107e-10 U1030S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
2.66252964858837e-06 U1031S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
6.38530550822747e-09 U1032S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
7.86062435809143e-10 U1033S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.01441288741575 U1034S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
5.75403696079946e-06 U1035S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
1.174329925413e-07 U1036S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.000119320717517601 U1037S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.0272487657014175 U1039S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.00149540988673092 U1040S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
2.41343722784393e-13 U1041S0 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.00017213533769946 U105 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
3.91497025020726e-10 U109 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
8.50773683980233e-09 U114 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
9.68196640550811e-07 U116 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.0312161892995792 U117 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.0172646502788516 U120 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
5.24647842136597e-05 U123 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
9.1162734053311e-05 U125 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0 U137 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.000523331417285775 U140 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.00551001412713288 U142 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.0249277314852326 U147 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
7.82259383993356e-06 U149 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
1.20336335328597e-08 U150 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
1.99806837741789e-15 U157 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
8.95807189094788e-06 U159 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
1.69862873595146e-05 U176 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.000101610044856996 U178 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
9.7764113540475e-06 U180 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.00889196953165139 U182 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
4.53082016349526e-16 U187 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.171811589564401 U2002S1 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
0.19518202341363 U2003S1 10.7145825531887 4.94125412197362 1 normal 1 gwa-t4 task_runtime
