avg.pvalue UserID.Trace Param1 Param2 Cluster distribution k Trace stats.attr
2.53130849614536e-16 U10 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0 U11 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0.000101234895315234 U12 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
4.50934851217588e-06 U127 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0 U13 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0.000224065196821689 U16 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0.0508117415717846 U19 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0.00030826458348994 U3 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0.0103012693345143 U5 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0.0454841838748997 U50 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0.281234453725274 U56 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0.027534713542784 U6 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0.0510611594804428 U69 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0.000322430831039669 U7 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0.034529673906322 U8 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
1.57908320250821e-05 U9 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
0.00967418466931734 U96 10.1911678088473 1.84559498562848 1 normal 1 gwa-t11 bot_user_iat
8.79296635503124e-17 U10 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0 U11 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
2.84139848364133e-05 U12 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
1.20720312610045e-05 U127 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0 U13 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0.000268156210369923 U16 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0.0720723465946006 U19 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0.00024703439105301 U3 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0.0103972672987521 U5 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0.0695524752758454 U50 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0.221365471602013 U56 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0.0300738852227363 U6 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0.0554989989639593 U69 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0.00163164361465536 U7 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0.015034050394331 U8 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
1.25877098950001e-05 U9 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
0.00510359801935563 U96 2.3054230007644 0.178913687616135 1 lognormal 1 gwa-t11 bot_user_iat
2.90700796767851e-15 U10 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
2.22044604925031e-16 U11 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
0.000395842655663306 U12 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
4.71075873913762e-06 U127 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
0 U13 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
0.00134777754584601 U16 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
0.0498702046966556 U19 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
0.000150989835658506 U3 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
0.0170569657119323 U5 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
0.0407627374192386 U50 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
0.26817921677696 U56 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
0.04529443392292 U6 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
0.0356562934272411 U69 5.73030581721794 10.9728600747419 1 weibull 1 gwa-t11 bot_user_iat
