Param1 Param2 Cluster distribution k Trace stats.attr Size Fraction
2.24576694883894 0.219135646405031 1 lognormal 1 gwa-t1 bot_user_iat 174 1
0.102892237715861 NA 8 exponential 10 gwa-t1 bot_user_iat 2 0.0114942528735632
0.120480733809514 NA 9 exponential 10 gwa-t1 bot_user_iat 1 0.00574712643678161
0.0865451401270934 NA 10 exponential 10 gwa-t1 bot_user_iat 1 0.00574712643678161
21.004181392474 2.00301213984248 2 gamma 10 gwa-t1 bot_user_iat 17 0.0977011494252874
18.0903369541545 1.88518552283391 3 gamma 10 gwa-t1 bot_user_iat 41 0.235632183908046
19.319721447685 1.94109633084986 4 gamma 10 gwa-t1 bot_user_iat 30 0.172413793103448
13.4506490977536 1.1002169004808 5 gamma 10 gwa-t1 bot_user_iat 4 0.0229885057471264
23.234399245481 1.55740358627601 6 gamma 10 gwa-t1 bot_user_iat 1 0.00574712643678161
2.18579549896494 0.191685566464766 1 lognormal 10 gwa-t1 bot_user_iat 76 0.436781609195402
11.7454236629635 0.95603422670243 7 normal 10 gwa-t1 bot_user_iat 1 0.00574712643678161
0.102892237715861 NA 9 exponential 11 gwa-t1 bot_user_iat 2 0.0114942528735632
0.120480733809514 NA 10 exponential 11 gwa-t1 bot_user_iat 1 0.00574712643678161
31.1615428320162 3.010762058259 2 gamma 11 gwa-t1 bot_user_iat 4 0.0229885057471264
18.0903369541545 1.88518552283391 3 gamma 11 gwa-t1 bot_user_iat 41 0.235632183908046
19.319721447685 1.94109633084986 4 gamma 11 gwa-t1 bot_user_iat 30 0.172413793103448
13.8399060120172 1.29219059795545 5 gamma 11 gwa-t1 bot_user_iat 13 0.0747126436781609
13.4506490977536 1.1002169004808 6 gamma 11 gwa-t1 bot_user_iat 4 0.0229885057471264
23.234399245481 1.55740358627601 7 gamma 11 gwa-t1 bot_user_iat 1 0.00574712643678161
2.18579549896494 0.191685566464766 1 lognormal 11 gwa-t1 bot_user_iat 76 0.436781609195402
11.7454236629635 0.95603422670243 8 normal 11 gwa-t1 bot_user_iat 1 0.00574712643678161
8.45043914466891 12.2594864410155 11 weibull 11 gwa-t1 bot_user_iat 1 0.00574712643678161
0.102892237715861 NA 10 exponential 12 gwa-t1 bot_user_iat 2 0.0114942528735632
0.120480733809514 NA 11 exponential 12 gwa-t1 bot_user_iat 1 0.00574712643678161
0.0865451401270934 NA 12 exponential 12 gwa-t1 bot_user_iat 1 0.00574712643678161
