Param1 Param2 Cluster distribution k Trace stats.attr Size Fraction
0.0865079027453085 NA 4 exponential 5 gwa-t1 bot_user_iat 2 0.0114942528735632
0.120480733809514 NA 5 exponential 5 gwa-t1 bot_user_iat 1 0.00574712643678161
19.896003193924 1.88072764161889 2 gamma 5 gwa-t1 bot_user_iat 21 0.120689655172414
23.234399245481 1.55740358627601 3 gamma 5 gwa-t1 bot_user_iat 1 0.00574712643678161
2.22189463225198 0.209026235136192 1 lognormal 5 gwa-t1 bot_user_iat 149 0.85632183908046
0.125249769731248 NA 4 exponential 5 gwa-t2 bot_user_iat 1 0.00613496932515337
0.107215860229535 NA 5 exponential 5 gwa-t2 bot_user_iat 1 0.00613496932515337
32.6243976182442 3.64099696202024 3 gamma 5 gwa-t2 bot_user_iat 25 0.153374233128834
2.41929865623336 0.276383216536684 1 lognormal 5 gwa-t2 bot_user_iat 99 0.607361963190184
2.57429555908779 0.296133816183037 2 lognormal 5 gwa-t2 bot_user_iat 37 0.226993865030675
10.6913193669042 0.837409593408272 3 gamma 5 gwa-t3 bot_user_iat 17 0.202380952380952
22.0342661423269 2.21079365752681 4 gamma 5 gwa-t3 bot_user_iat 19 0.226190476190476
25.1527113780985 1.86337476064253 5 gamma 5 gwa-t3 bot_user_iat 2 0.0238095238095238
2.17352995274756 0.16873748460238 2 lognormal 5 gwa-t3 bot_user_iat 15 0.178571428571429
3.57733730073763 12.4222841094733 1 weibull 5 gwa-t3 bot_user_iat 31 0.369047619047619
37.4604246524643 3.06409662794889 3 gamma 5 gwa-t4 bot_user_iat 16 0.098159509202454
84.0126792820756 6.34582155480394 4 gamma 5 gwa-t4 bot_user_iat 11 0.0674846625766871
2.26488622378943 0.209421552994773 1 lognormal 5 gwa-t4 bot_user_iat 122 0.748466257668712
2.10546696514913 0.213909160892541 5 lognormal 5 gwa-t4 bot_user_iat 2 0.0122699386503067
6.79245936923823 14.6328847725494 2 weibull 5 gwa-t4 bot_user_iat 12 0.0736196319018405
0.122522092687801 NA 4 exponential 5 gwa-t10 bot_user_iat 1 0.00714285714285714
0.11184800170828 NA 5 exponential 5 gwa-t10 bot_user_iat 1 0.00714285714285714
18.7081217014178 1.93254476191156 2 gamma 5 gwa-t10 bot_user_iat 28 0.2
2.35791811725646 0.268377184368634 1 lognormal 5 gwa-t10 bot_user_iat 90 0.642857142857143
12.9494902937097 3.83046527000955 3 normal 5 gwa-t10 bot_user_iat 20 0.142857142857143
57.3175934252908 4.92551688676004 1 gamma 5 gwa-t11 bot_user_iat 4 0.235294117647059
35.217443137711 3.65751935686028 2 gamma 5 gwa-t11 bot_user_iat 4 0.235294117647059
1878525579.90871 146601953.946679 3 gamma 5 gwa-t11 bot_user_iat 1 0.0588235294117647
35.8284132048149 3.92098434742662 4 gamma 5 gwa-t11 bot_user_iat 3 0.176470588235294
50.4774490359192 4.77974125122046 5 gamma 5 gwa-t11 bot_user_iat 5 0.294117647058824
3.96500967294784 1.79367213190168 2 gamma 5 gwa-t1 bot_runtime_sum 4 0.0227272727272727
8.70402126486139 0.827608127414897 3 gamma 5 gwa-t1 bot_runtime_sum 14 0.0795454545454545
8.09549148722025 0.599769164692837 5 gamma 5 gwa-t1 bot_runtime_sum 2 0.0113636363636364
1.4402458915605 0.567282990891906 4 lognormal 5 gwa-t1 bot_runtime_sum 74 0.420454545454545
3.15092654882424 8.63930411523819 1 weibull 5 gwa-t1 bot_runtime_sum 82 0.465909090909091
0.568037623084878 NA 5 exponential 5 gwa-t2 bot_runtime_sum 2 0.0121212121212121
10.7408117490245 3.5789905764624 1 normal 5 gwa-t2 bot_runtime_sum 48 0.290909090909091
12.6820620972277 3.58737281178893 2 normal 5 gwa-t2 bot_runtime_sum 39 0.236363636363636
9.70897443213685 3.49836729531889 3 normal 5 gwa-t2 bot_runtime_sum 40 0.242424242424242
2.42967119087867 9.20666739302445 4 weibull 5 gwa-t2 bot_runtime_sum 36 0.218181818181818
6.22666405753358 0.686645614447979 1 gamma 5 gwa-t3 bot_runtime_sum 15 0.178571428571429
15.0525527231684 0.962536253423986 2 gamma 5 gwa-t3 bot_runtime_sum 21 0.25
13.5695419399004 0.643485669292227 3 gamma 5 gwa-t3 bot_runtime_sum 2 0.0238095238095238
12.001222521571 0.988754166777825 4 gamma 5 gwa-t3 bot_runtime_sum 37 0.44047619047619
17.5750447824725 3.90830824911902 5 normal 5 gwa-t3 bot_runtime_sum 9 0.107142857142857
9.17652159973222 1.23777407133395 2 gamma 5 gwa-t4 bot_runtime_sum 32 0.196319018404908
5.04269080376056 0.788328634170175 4 gamma 5 gwa-t4 bot_runtime_sum 24 0.147239263803681
5.05317443445355 1.45066456701056 5 gamma 5 gwa-t4 bot_runtime_sum 16 0.098159509202454
13.6194424382698 4.81067799982523 1 normal 5 gwa-t4 bot_runtime_sum 61 0.374233128834356
2.5474972085504 12.3122425210039 3 weibull 5 gwa-t4 bot_runtime_sum 30 0.184049079754601
9.40819103682654 0.705613548576804 3 gamma 5 gwa-t10 bot_runtime_sum 25 0.176056338028169
2.15994369387977 0.405849950103634 1 lognormal 5 gwa-t10 bot_runtime_sum 62 0.436619718309859
1.82651532543637 0.333441706475149 2 lognormal 5 gwa-t10 bot_runtime_sum 19 0.133802816901408
13.8137664561639 4.64236497254254 5 normal 5 gwa-t10 bot_runtime_sum 21 0.147887323943662
3.89900380440593 18.3159131669353 4 weibull 5 gwa-t10 bot_runtime_sum 15 0.105633802816901
0.0881589635807361 NA 1 exponential 5 gwa-t11 bot_runtime_sum 2 0.105263157894737
